256	1425569	386	277
257	1427951	1225	547
258	1434675	3400	441
259	1450653	401	77
260	1452885	401	43
261	1455145	132	45
262	1455993	15	9
263	1456088	521	178
264	1459064	1319	523
265	1466601	236	114
266	1468053	969	411
267	1473651	512	288
268	1476724	1147	508
269	1482774	309	219
270	1484737	4252	756
271	1507086	1349	426
272	1514271	1052	299
273	1519898	4	4
274	1519924	366	62
275	1521904	577	406
276	1525346	604	351
277	1528856	14	6
278	1528943	214	157
279	1530231	267	190
280	1531908	439	289
281	1534604	616	395
282	1538357	4	2
283	1538380	316	170
284	1540341	3022	440
285	1556272	1231	437
286	1563273	2380	764
287	1575579	233	172
288	1576991	1723	911
289	1586271	1908	688
290	1596911	138	44
291	1597627	209	105
292	1598969	35	29
293	1599191	13492	1058
294	1657031	1523	472
295	1665104	1505	493
296	1673582	1353	711
297	1681063	107	74
298	1681726	868	572
299	1686567	1555	763
300	1694855	1855	735
301	1704910	669	40
302	1707755	683	366
303	1711432	57	53
304	1711823	53	33
305	1712168	588	201
306	1715656	63	38
307	1716098	1248	588
308	1723378	5289	868
309	1751100	17	17
310	1751205	674	373
311	1755194	12212	1104
312	1815138	202	143
313	1816391	210	110
314	1817688	467	192
315	1820492	259	189
316	1822188	75	57
317	1822678	88	65
318	1823243	438	224
319	1825900	416	164
320	1828322	1234	465
321	1835408	3035	1127
322	1850943	976	278
323	1856245	749	340
324	1860451	2035	700
325	1871548	568	304
326	1874964	417	272
327	1877423	448	267
328	1880173	83	53
329	1880732	419	212
330	1883199	1219	243
331	1889936	1062	331
332	1895988	152	82
333	1896928	573	258
334	1900300	243	102
335	1901713	776	365
336	1906094	657	208
337	1909852	1481	550
338	1918360	1002	292
339	1923812	1173	372
340	1930500	2088	725
341	1941250	441	236
342	1944002	642	311
343	1947816	67	48
344	1948256	612	321
345	1951982	2475	825
346	1965701	1021	449
347	1971744	2028	566
348	1982894	197	90
349	1984093	33	22
350	1984306	294	153
351	1986145	170	75
352	1987136	1793	751
353	1997166	283	164
354	1998922	2263	927
355	2010424	512	316
356	2013563	1349	440
357	2021116	3240	505
358	2038329	52	23
359	2038656	281	183
360	2040417	41	33
361	2040704	1278	540
362	2047975	329	107
363	2049873	452	299
364	2052644	2601	973
365	2067189	44	39
366	2067504	789	391
367	2071922	41	32
368	2072169	2431	838
369	2085576	1982	635
370	2096344	27	12
371	2096510	9	8
372	2096574	75	29
373	2097018	49	36
374	2097338	5	5
375	2097376	18	14
376	2097510	138	89
377	2098338	8	4
378	2098393	165	91
379	2099392	1039	490
380	2105297	32	28
381	2105533	1142	514
382	2112217	74	42
383	2112698	1449	589
384	2120801	1050	474
385	2126914	443	226
386	2129604	44	28
387	2129910	138	85
388	2130725	413	141
389	2133169	246	147
390	2134617	166	98
391	2135678	23	14
392	2135834	7	7
393	2135887	1349	544
394	2143432	152	56
395	2144342	78	58
396	2144870	93	68
397	2145417	81	62
398	2145951	273	196
399	2147653	3502	753
400	2166208	164	45
